1,0.0000193266
1,0.0000790821
2,0.0001508498
2,0.0000665708
3,0.0000959212
3,0.0001630078
4,0.0001874134
4,0.0002214746
5,0.0002621993
5,0.0002072675
6,0.0002303059
6,0.0003681939
7,0.0004775664
7,0.0002703305
8,0.0004816857
8,0.0002778727
9,0.0006379506
9,0.0003535204
10,0.0006868740
10,0.0004422709
11,0.0007288671
11,0.0004449801
12,0.0004664887
12,0.0007418449
13,0.0007563716
13,0.0004958552
14,0.0005418026
14,0.0007984357
15,0.0008184370
15,0.0005947019
16,0.0006218025
16,0.0009404910
17,0.0006223105
17,0.0010925842
18,0.0007206860
18,0.0011499209
19,0.0007447140
19,0.0012596888
20,0.0007838179
20,0.0012922928
