12063.99,22327.45,30472.26,26128.20,31273.56,36782.62,37522.13,37895.57,27927.87,29646.36,32508.19,31672.72,34210.16,36032.14,26782.42,28297.21,29446.91,30175.14,30820.40,31843.67
4194.91,7578.97,10938.49,14452.78,17887.86,21007.71,23846.35,22446.19,22145.99,23999.01,26362.09,21473.03,23153.63,24424.08,24712.94,25485.21,22574.74,22361.73,23437.19,23283.89
11697.51,13305.97,11750.13,13574.69,16237.93,14733.78,16431.64,16446.83,16011.38,17417.76,18080.29,19155.38,20342.91,21090.13,21667.75,21389.12,22453.21,22517.77,22071.99,23126.13
364300.80,16662.04,22858.88,16179.73,14110.74,16275.49,16547.14,18699.33,17863.00,19115.07,19650.92,20996.89,21328.84,20039.35,18865.71,19485.92,19435.88,20052.44,19514.89,19594.59
47467.73,65471.83,41923.19,36254.45,27488.58,24024.53,26031.46,25096.98,24358.82,22798.02,24750.26,25224.66,20770.86,20723.80,20269.64,20902.88,18603.00,14196.90,13373.92,13987.68
24202.94,22380.00,29335.64,34360.48,42177.38,50182.19,33153.80,29839.03,33315.76,24985.76,23569.98,24355.43,25916.18,26441.39,26171.48,26064.05,25416.55,25883.28,26863.19,27734.57
21448.01,38880.59,22271.36,17109.58,20542.86,23305.23,24146.31,25935.58,26576.95,26869.05,20775.84,21791.55,18405.17,15612.28,15247.47,15866.25,15957.86,16175.62,15768.80,16409.14
14334.25,15064.96,20730.36,27313.82,28627.36,29284.79,26709.51,29476.52,29715.65,29593.87,24904.34,19806.31,18146.19,18579.33,19251.32,20041.89,20518.71,20132.47,20056.85,20424.77
101866.31,47748.33,44306.11,17070.83,19601.98,22056.20,21268.23,21810.48,20054.04,17575.09,17776.83,19366.87,20117.73,20933.73,20229.48,21301.00,21970.72,22456.92,18571.01,18875.44
24140.97,16086.96,19516.15,18703.05,19010.76,13807.91,15252.69,16942.56,15591.28,13784.15,14884.39,14146.58,15165.65,15319.47,16110.02,16311.57,15241.50,14540.53,15076.82,15715.32
215547.51,28487.10,19155.52,19496.56,17744.27,18431.12,21197.86,16047.19,16245.05,17409.69,18335.03,19812.95,19509.48,18873.52,18322.61,17511.81,18476.78,18680.42,18261.15,19099.54
197073.74,41568.38,27418.14,19992.96,23369.96,18871.22,21413.99,24153.39,25137.96,27271.85,28509.15,20971.45,22242.74,23842.14,24255.78,25756.24,27111.72,22231.25,23166.48,24239.47
