19081.14,11031.08,15152.32,17567.73,20208.04,16676.58,16026.31,17595.85,17081.08,17863.04,19097.54,14603.44,15726.20,16119.18,15947.90,16309.50,16269.03,16185.99,16234.20,17043.57,
9406.64,15883.55,22689.48,27880.24,22962.19,24473.67,22149.17,24672.94,14610.53,15986.43,17498.97,17835.59,18407.71,17424.68,18070.31,19196.20,19735.26,20667.57,20563.03,18305.00,
167880.82,12616.11,9126.16,11053.10,8151.61,7253.73,8253.33,9206.37,8667.97,9251.23,9968.38,10745.61,11446.68,12250.58,13091.68,13871.51,14425.26,14021.82,14463.41,14913.04,
3558.87,4130.92,5486.93,6508.40,7656.36,8130.03,9117.48,10062.53,10701.98,11491.37,11459.28,12071.27,12348.64,12736.10,12924.19,13720.12,14345.58,15122.94,15960.82,16203.02,
46693.49,83596.84,70609.15,66657.13,72097.32,73786.74,43994.45,40247.45,29821.47,28513.98,30630.79,32673.24,32035.95,30875.72,29146.51,27751.68,27706.90,27120.46,27257.19,26833.95,
42418.17,33451.66,14885.90,12165.54,14634.66,17245.25,17691.44,19216.06,18153.14,19625.99,20393.81,21501.61,22311.81,21338.64,21518.53,19410.13,19888.39,20523.11,21597.93,21497.14,
18392.11,15284.60,10821.87,12325.85,13689.52,16326.50,17752.16,18298.88,16656.96,17556.59,19190.55,18578.04,18333.40,19367.70,20559.63,21019.67,21855.02,22748.80,23112.35,23751.25,
7053.28,9428.57,13150.80,15844.71,15797.60,18922.89,17175.57,17232.26,18751.79,20444.66,15868.56,16394.69,17076.14,17991.28,17472.82,18259.77,15943.69,15665.39,16405.25,14939.17,
1308491.42,113989.18,16081.11,19216.03,22967.73,22083.37,20560.48,22817.75,19079.89,20232.06,15837.17,16490.72,15463.11,16641.29,17020.86,17304.94,18168.72,18046.59,18860.61,18651.13,
15655.01,14195.52,18363.85,22621.31,21898.90,21851.03,19884.86,22366.39,15108.38,15465.61,15552.49,16340.54,16255.08,15058.65,14970.91,15035.84,15237.00,15453.55,16311.28,16297.87,
4789.16,7357.98,7858.38,10355.12,12920.99,13402.87,14175.73,12989.83,13280.24,14261.57,15527.84,12782.41,13359.28,13869.74,14142.87,14464.43,15226.73,14852.67,14336.32,14675.20,
177254.13,100393.50,26562.48,16158.48,16556.68,16207.11,15794.14,12756.31,13702.85,14245.75,14289.10,14605.55,15167.24,15957.61,15543.96,13472.65,13999.76,14735.98,14141.10,14207.96,
33998.21,20862.55,17826.80,21725.82,24699.71,21020.16,17490.65,17993.34,18910.41,18197.87,18048.83,19091.13,19156.82,17862.03,18761.80,19615.72,15102.68,14460.52,14539.68,14687.64,
136471.62,54439.80,36139.21,18733.68,18145.79,20316.62,22594.37,20960.72,19239.39,15512.31,16694.03,17837.18,16640.30,16839.08,17327.50,17686.68,16844.12,17747.01,18727.11,18605.76,
7185.62,11863.19,16272.99,15982.72,13787.82,14982.93,16731.27,17976.47,17199.96,18535.65,19250.63,15768.73,16979.95,15726.66,15572.07,15522.02,15529.57,15712.08,16580.16,17410.79,
39172.05,14344.88,16168.69,18425.36,17282.29,18446.83,19015.15,17266.21,19006.09,20310.12,18759.97,19915.57,16101.67,16649.92,16900.28,16544.11,16742.06,16677.49,16794.62,16771.85,
5515.04,10101.22,13175.55,16166.24,13896.98,13736.69,15396.25,15183.07,16076.63,17361.31,13386.40,14516.42,14967.74,14884.64,15290.10,15311.97,15286.72,15379.71,16191.34,17036.96,
161971.32,150730.19,72409.83,45467.45,29321.39,32282.98,34749.26,37167.97,34799.38,33920.82,28031.09,28266.14,22567.01,21764.07,22632.95,22090.10,21260.73,21443.95,22589.78,23674.31,
